obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
103,0.02375,0.02364,15911.067256490001,1981.2190433199996,0.023677,0.0237,2016-06-11 09:11:26,31.274,92.101,211000.0
104,0.02375,0.02364,15953.509516040001,1973.9541133199998,0.023677,0.0237,2016-06-11 09:11:35,31.274,92.101,211000.0
105,0.02375,0.02364,15953.509516040001,1981.2990433199998,0.023677,0.0237,2016-06-11 09:11:44,31.274,92.101,211000.0
106,0.02375,0.02364,15953.509516040001,1981.2990433199998,0.023676,0.0237,2016-06-11 09:11:52,71.696,92.101,211000.0
107,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023666,0.0237,2016-06-11 09:12:00,837.697,92.101,211000.0
108,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023666,0.0237,2016-06-11 09:12:09,837.697,92.101,211000.0
109,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023671,0.0237,2016-06-11 09:12:17,71.655,92.101,211000.0
110,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023671,0.0237,2016-06-11 09:12:25,71.655,92.101,211000.0
111,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023672,0.023699,2016-06-11 09:12:33,32.607,71.992,211000.0
112,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023676,0.0237,2016-06-11 09:12:42,72.052,19.873,211000.0
113,0.02375,0.02364,15954.090736040002,1987.6934545099996,0.023666,0.023699,2016-06-11 09:12:50,837.697,71.693,211000.0
114,0.02375,0.02364,15954.090736040002,1987.6934545099996,0.023667,0.0237,2016-06-11 09:12:58,30.891,19.873,211000.0
115,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023671,0.0237,2016-06-11 09:13:07,71.861,19.873,211000.0
116,0.02375,0.02364,15954.090736040002,1990.0664933199998,0.023666,0.0237,2016-06-11 09:13:15,837.697,19.873,211000.0
117,0.02375,0.02364,15954.143016360002,1990.0664933199998,0.023666,0.023699,2016-06-11 09:13:23,837.697,72.232,211000.0
118,0.02375,0.02364,15954.143016360002,1990.0664933199998,0.023666,0.0237,2016-06-11 09:13:31,837.697,19.873,211000.0
119,0.02375,0.02364,15954.143016360002,1990.0664933199998,0.023666,0.0237,2016-06-11 09:13:39,837.697,19.873,211000.0
120,0.02375,0.02364,15954.143016360002,1990.0664933199998,0.023666,0.023699,2016-06-11 09:13:46,837.697,71.93,211000.0
121,0.02375,0.02364,15954.143016360002,1990.0664933199998,0.023676,0.023719,2016-06-11 09:13:54,72.091,3.13,211000.0
122,0.02375,0.02364,15954.143016360002,1987.8864933199998,0.023676,0.023718,2016-06-11 09:14:03,72.091,0.25,211000.0
123,0.02375,0.02364,15949.338847980001,1987.7864933199996,0.023676,0.023748,2016-06-11 09:14:11,72.091,71.878,211000.0
124,0.02375,0.02364,15696.473352550001,1971.7741133199995,0.023687,0.023746,2016-06-11 09:14:19,71.586,4.158,211000.0
125,0.02375,0.02364,15890.585421860002,1987.7864933199996,0.023687,0.023752,2016-06-11 09:14:28,71.586,150.0,211000.0
126,0.02375,0.02364,15890.585421860002,1987.7864933199996,0.023717,0.023752,2016-06-11 09:14:36,162.45,145.84,211000.0
127,0.02375,0.02364,15844.046893410003,1985.8479648699997,0.023717,0.023752,2016-06-11 09:14:45,162.45,67.405,211000.0
128,0.02378,0.02375,15893.643493410002,1988.8655795099996,0.023717,0.023754,2016-06-11 09:14:53,162.45,319.66,211000.0
129,0.02378,0.02375,15893.643493410002,1988.8655795099994,0.023755,0.023817,2016-06-11 09:15:01,153.76,174.501,211000.0
130,0.02378,0.02375,15852.943493410003,1949.5655795099995,0.02376,0.023816,2016-06-11 09:15:09,11.781,378.88,211000.0
131,0.02378,0.02375,15843.143493410002,1988.8655795099994,0.023717,0.023811,2016-06-11 09:15:18,162.45,150.69,211000.0
132,0.02378,0.02375,15843.143493410002,1988.8655795099994,0.023689,0.023803,2016-06-11 09:15:26,71.743,139.672,211000.0
133,0.02378,0.02375,15842.078397120002,1988.8655795099994,0.023694,0.023798,2016-06-11 09:15:34,71.57,350.49,211000.0
134,0.02378,0.02375,15844.078397120002,1988.8655795099994,0.023754,0.023792,2016-06-11 09:15:42,153.49,63.326,211000.0
135,0.02378,0.02375,15853.878397120003,1949.5655795099995,0.023785,0.023785,2016-06-11 09:15:50,157.19,151.934,211000.0
136,0.02378,0.02375,15894.578397120002,1985.9479648699996,0.023721,0.02378,2016-06-11 09:15:59,163.81,220.076,211000.0
137,0.02378,0.02375,15894.578397120002,1986.1105265799995,0.023753,0.02378,2016-06-11 09:16:07,158.77,220.076,211000.0
138,0.02378,0.02375,15894.578397120002,1946.8105265799995,0.023753,0.023776,2016-06-11 09:16:15,158.77,176.989,211000.0
139,0.02378,0.02375,15594.578397120005,1986.1105265799995,0.023726,0.023776,2016-06-11 09:16:23,71.716,176.989,211000.0
