obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
95,0.02265,0.0225,8993.773341249998,3426.3447092800006,0.022571,0.02265,2016-06-12 10:24:43,227.1,12.733,211000.0
96,0.02265,0.0225,8977.39397342,3375.6899496900005,0.022535,0.02262,2016-06-12 10:24:51,454.033,18.325,211000.0
97,0.02265,0.0225,8974.87379899,3411.8818669700004,0.022547,0.022647,2016-06-12 10:24:59,25.39,87.135,211000.0
98,0.02265,0.02251,8833.118081240002,3411.8818669700004,0.022552,0.022647,2016-06-12 10:25:07,68.585,87.135,211000.0
99,0.02265,0.02251,8871.72628332,3416.2600994700006,0.022553,0.022646,2016-06-12 10:25:16,25.39,25.194,211000.0
100,0.02265,0.02251,8732.49446947,3406.72375035,0.022564,0.02264,2016-06-12 10:25:24,68.069,43.519,211000.0
101,0.02265,0.02251,8865.24305219,3426.21506012,0.022546,0.022629,2016-06-12 10:25:32,3.01,68.452,211000.0
102,0.02265,0.02249,8940.071079910002,3436.483451870001,0.022546,0.022623,2016-06-12 10:25:40,68.174,68.074,211000.0
103,0.02264,0.02245,8852.10907991,3361.5834518700003,0.022546,0.022599,2016-06-12 10:25:49,68.174,68.673,211000.0
104,0.02264,0.02246,8996.64907991,3436.483451870001,0.022546,0.022599,2016-06-12 10:25:57,68.174,68.673,211000.0
105,0.02264,0.02248,8982.50571491,3429.3834518700005,0.022546,0.022599,2016-06-12 10:26:04,68.174,68.673,211000.0
106,0.02263,0.02248,8982.50571491,3201.427669800001,0.022546,0.022599,2016-06-12 10:26:12,68.174,86.998,211000.0
107,0.02263,0.02248,8982.505588029999,3428.27382702,0.022546,0.022599,2016-06-12 10:26:20,68.174,18.325,211000.0
108,0.02263,0.02248,8923.184146570002,3428.27382702,0.022546,0.022599,2016-06-12 10:26:28,68.174,18.325,211000.0
109,0.02263,0.02246,8923.184146570002,3428.27382702,0.022546,0.022648,2016-06-12 10:26:36,60.018,1.955,211000.0
110,0.02265,0.02246,8923.184146570002,3431.31957679,0.022546,0.022649,2016-06-12 10:26:44,60.018,175.194,211000.0
111,0.02265,0.02249,9089.54414657,3326.1570215800007,0.02265,0.022652,2016-06-12 10:26:53,369.952,38.736,211000.0
112,0.02265,0.0225,9120.378501760002,3366.0525049100006,0.02265,0.022651,2016-06-12 10:27:01,219.952,5.994,211000.0
113,0.02265,0.0225,8986.10484384,3399.3140597800007,0.02265,0.022652,2016-06-12 10:27:09,219.952,38.736,211000.0
114,0.02265,0.0225,9120.012454890002,3396.6940040800005,0.02265,0.022651,2016-06-12 10:27:17,206.372,25.194,211000.0
115,0.02265,0.0225,9120.012454890002,3396.6940040800005,0.02265,0.022652,2016-06-12 10:27:24,206.372,38.736,211000.0
116,0.02265,0.0225,9120.012454890002,3396.6940040800005,0.02265,0.022652,2016-06-12 10:27:32,201.456,38.736,211000.0
